Date,Open,High,Low,Close,Adj Close,Volume
2011-10-18,237.500000,240.449997,235.800003,238.399994,224.141479,331822
2011-10-19,241.000000,246.550003,240.000000,245.550003,230.863846,1098442
2011-10-20,244.975006,246.074997,240.500000,244.750000,230.111694,372686
2011-10-21,244.774994,246.000000,242.000000,243.149994,228.607376,176832
2011-10-24,245.500000,248.449997,241.300003,242.050003,227.573166,292918
2011-10-25,242.000000,245.500000,224.500000,234.375000,220.357208,1854598
2011-10-28,241.250000,244.000000,239.125000,241.250000,226.821014,455728
2011-10-31,241.500000,245.449997,238.750000,244.524994,229.900131,331758
2011-11-01,242.500000,246.199997,240.000000,240.975006,226.562469,331198
2011-11-02,239.449997,244.175003,238.625000,241.524994,227.079590,225170
2011-11-03,241.000000,242.000000,236.250000,240.399994,226.021851,560240
2011-11-04,243.000000,243.750000,240.149994,241.050003,226.632980,264168
2011-11-08,242.000000,243.550003,239.300003,242.350006,227.855255,404328
2011-11-09,243.000000,243.000000,237.774994,238.725006,224.447037,309494
2011-11-11,234.425003,239.500000,231.500000,231.975006,218.100739,242812
2011-11-14,234.500000,239.500000,234.500000,235.350006,221.273895,223244
2011-11-15,235.000000,238.850006,235.000000,235.899994,221.790985,256862
2011-11-16,236.000000,236.050003,230.850006,232.975006,219.040939,391090
2011-11-17,232.500000,235.000000,228.475006,229.425003,215.703262,241956
2011-11-18,228.899994,230.550003,225.125000,228.850006,215.162674,381144
2011-11-21,229.449997,229.449997,220.550003,222.449997,209.145447,1392264
2011-11-22,224.500000,224.949997,220.000000,221.899994,208.628326,1116414
2011-11-23,221.000000,221.000000,207.500000,213.350006,200.589676,1118554
2011-11-24,214.000000,217.199997,205.625000,214.975006,202.117523,823090
2011-11-25,213.149994,217.324997,209.425003,215.750000,202.846161,1075682
2011-11-28,220.000000,222.350006,217.274994,220.399994,207.218033,622522
2011-11-29,221.500000,222.750000,215.175003,217.199997,204.209427,371444
2011-11-30,215.449997,223.750000,214.899994,220.725006,207.523621,584222
2011-12-01,228.000000,233.449997,224.850006,226.725006,213.164749,384590
2011-12-02,228.000000,233.949997,226.649994,232.875000,218.946930,373572
2011-12-05,232.500000,233.699997,229.050003,231.125000,217.301605,252600
2011-12-07,233.500000,235.024994,231.000000,232.975006,219.040939,246650
2011-12-08,233.199997,233.899994,225.524994,226.949997,213.376297,236594
2011-12-09,224.050003,226.149994,220.449997,222.399994,209.098419,642576
2011-12-12,225.000000,225.475006,213.324997,215.949997,203.034195,730452
2011-12-13,214.000000,222.399994,212.899994,218.199997,205.149628,866736
2011-12-14,220.000000,221.725006,215.074997,216.925003,203.950882,469294
2011-12-15,215.949997,217.899994,213.774994,215.675003,202.775665,470028
2011-12-16,217.500000,220.000000,206.500000,207.975006,195.536179,899714
2011-12-19,206.850006,206.850006,200.225006,203.024994,190.882217,1027218
2011-12-20,202.949997,211.000000,202.024994,207.050003,194.666504,738092
2011-12-21,213.000000,219.500000,209.000000,217.649994,204.632523,519978
2011-12-22,216.000000,222.500000,214.500000,221.500000,208.252243,460814
2011-12-23,220.550003,223.375000,218.050003,218.800003,205.713745,505964
2011-12-26,221.750000,222.500000,218.574997,221.725006,208.463791,171740
2011-12-27,222.000000,222.000000,217.925003,219.800003,206.653946,163286
2011-12-28,220.000000,220.975006,216.649994,219.824997,206.677444,184320
2011-12-29,219.399994,220.725006,212.625000,215.324997,202.446579,432528
2011-12-30,215.500000,217.000000,211.350006,213.524994,200.754242,392378
2012-01-02,215.899994,215.899994,209.675003,213.600006,200.824768,404988
2012-01-03,215.500000,220.500000,215.500000,219.574997,206.442383,354344
2012-01-04,220.050003,222.425003,215.750000,221.625000,208.369781,440142
2012-01-05,222.050003,223.350006,219.625000,221.274994,208.040710,302662
2012-01-06,220.000000,228.399994,219.324997,226.250000,212.718155,348306
2012-01-07,null,null,null,null,null,null
2012-01-09,225.500000,228.324997,223.100006,227.449997,213.846359,141760
2012-01-10,230.000000,231.000000,227.949997,229.725006,215.985321,327212
2012-01-11,231.000000,231.750000,227.574997,231.125000,217.301605,255434
2012-01-12,232.000000,234.500000,230.824997,233.300003,219.346542,253544
2012-01-13,234.550003,237.500000,230.625000,234.649994,220.615753,274628
2012-01-16,233.750000,233.975006,229.000000,230.574997,216.784485,440664
2012-01-17,231.800003,234.500000,231.800003,233.625000,219.652054,153142
2012-01-18,233.750000,242.000000,233.750000,240.149994,225.786774,335498
2012-01-19,242.500000,245.000000,240.300003,242.500000,227.996262,610580
